Name,Type,Hull_Number,Shipyard,Laid_Down,Launched,Completed,Difference,Namesake,Fate
George Sharswood,Cargo,945,Bethlehem-Fairfield Shipyards,1943-01-11,1943-02-19,1943-03-06,54.0,George Sharswood,"Sold private 1947, scrapped 1962"
Woodrow Wilson,Cargo,893,North Carolina Shipbuilding Co,1943-01-26,1943-02-25,1943-03-06,39.0,Woodrow Wilson,Scrapped 1960
Daniel Drake,Cargo,715,California Shipbuilding Corp,1943-01-21,1943-02-18,1943-03-07,45.0,Daniel Drake,Scrapped 1959
Louis D Brandeis,Cargo,943,Bethlehem-Fairfield Shipyards,1942-12-31,1943-02-20,1943-03-08,67.0,Louis D. Brandeis,Scrapped 1964
Henderson Luelling,Cargo,1599,Oregon Shipbuilding Corp,1943-02-02,1943-02-25,1943-03-08,34.0,Henderson Luelling,Scrapped 1959
James B Hickok,Cargo,467,Permanente Metals Co Yard,1943-01-24,1943-02-26,1943-03-08,43.0,James B. Hickok,"Sold private 1947, in collision and scrapped 1958"
William D Pender,Cargo,894,North Carolina Shipbuilding Co,1943-01-30,1943-02-28,1943-03-09,38.0,William D. Pender,Scrapped 1960
Benjamin Lundy,Cargo,716,California Shipbuilding Corp,1943-01-24,1943-02-20,1943-03-09,44.0,Benjamin Lundy,Scrapped 1962
Henry L Benning,Cargo,946,Bethlehem-Fairfield Shipyards,1943-01-12,1943-02-22,1943-03-09,56.0,Henry L. Benning,"Sold private 1947, scrapped 1967"
Albireo,Cargo,525,Permanente Metals Co Yard,1943-01-17,1943-02-25,1943-03-09,51.0,John G. Nicolay,"To U.S. Navy as Albireo (AK-90), sold private 1947, scrapped 1967"
Dekabrist,Cargo,1600,Oregon Shipbuilding Corp,1943-02-05,1943-02-27,1943-03-10,33.0,E. H. Harriman,"To Russia 1943 as Dekabrist, scrapped 1972"
Sebastian Cermeno,Cargo,1233,Marinship Corp,1942-12-07,1943-02-06,1943-03-10,93.0,Sebastian Cermeno,Torpedoed and lost in the Indian Ocean 1943
Theodore Dwight Weld,Cargo,717,California Shipbuilding Corp,1943-01-26,1943-02-23,1943-03-11,44.0,Theodore Dwight Weld,Torpedoed and lost off Ireland 1943
John Bell,Cargo,834,Todd Houston Shipbuilding Corp,1943-01-07,1943-02-24,1943-03-11,63.0,John Bell,Torpedoed and lost off Sardinia 1943
Cushing Eells,Cargo,1601,Oregon Shipbuilding Corp,1943-02-07,1943-03-01,1943-03-12,33.0,Cushing Eells,"Sold private 1947, scrapped 1971"
William D Moseley,Cargo,895,North Carolina Shipbuilding Co,1943-02-03,1943-03-05,1943-03-12,37.0,William D. Moseley,Scrapped 1962
William B Ogden,Cargo,469,Permanente Metals Co Yard,1943-01-30,1943-03-02,1943-03-12,41.0,William B. Ogden,"Wrecked near Vizagapatam 1944, repaired, scrapped 1964"
Edward Bates,Cargo,526,Permanente Metals Co Yard,1943-01-24,1943-02-28,1943-03-13,48.0,Edward Bates,Torpedoed from the air and lost off Tenes 1944
James W Denver,Cargo,949,Bethlehem-Fairfield Shipyards,1943-01-20,1943-02-27,1943-03-13,52.0,James W. Denver,Torpedoed and lost off the Canary Islands 1943
James Harrod,Cargo,1602,Oregon Shipbuilding Corp,1943-02-09,1943-03-03,1943-03-13,32.0,James Harrod,"Burnt off Kent 1945, refloated, scuttled with obsolete ammo 1946"
John Trumbull,Cargo,337,New England Shipbuilding Corp,1942-11-26,1943-02-25,1943-03-13,107.0,John Trumbull,"Sold private 1947, scrapped 1970"
Theodore Parker,Cargo,718,California Shipbuilding Corp,1943-01-28,1943-02-24,1943-03-13,44.0,Theodore Parker,Reefed off North Carolina 1974
James M Porter,Cargo,836,Todd Houston Shipbuilding Corp,1943-01-08,1943-02-28,1943-03-14,65.0,James M. Porter,Scrapped 1961
Charles P Steinmetz,Cargo,471,Permanente Metals Co Yard,1943-02-04,1943-03-04,1943-03-15,39.0,Charles P. Steinmetz,Scrapped 1962
Christopher Greenup,Cargo,1603,Oregon Shipbuilding Corp,1943-02-11,1943-03-05,1943-03-15,32.0,Christopher Greenup,Scrapped 1962
James G Birney,Cargo,719,California Shipbuilding Corp,1943-01-30,1943-02-27,1943-03-15,44.0,James G. Birney,Scrapped 1967
David L Swain,Cargo,896,North Carolina Shipbuilding Co,1943-02-06,1943-03-09,1943-03-16,38.0,David L. Swain,"Sold private 1947, scrapped 1968"
Thomas Cresap,Cargo,948,Bethlehem-Fairfield Shipyards,1943-01-17,1943-03-01,1943-03-16,58.0,Thomas Cresap,"Sold private 1947, scrapped 1968"
John C Spencer,Cargo,835,Todd Houston Shipbuilding Corp,1943-01-13,1943-03-05,1943-03-17,63.0,John C. Spencer,Scrapped 1962
Lydia M Child,Cargo,720,California Shipbuilding Corp,1943-01-31,1943-02-28,1943-03-17,45.0,Lydia M. Child,Torpedoed and sunk off Newcastle NSW 1943
Josiah B Grinnell,Cargo,527,Permanente Metals Co Yard,1943-01-29,1943-03-04,1943-03-17,47.0,Josiah B. Grinnell,Scrapped 1966
Peter Donahue,Cargo,1234,Marinship Corp,1942-12-21,1943-02-12,1943-03-17,86.0,Peter Donahue,Scrapped 1963
Roger Griswold,Cargo,1032,Delta Shipbuilding Co,1943-01-20,1943-03-01,1943-03-17,56.0,Roger Griswold,Scrapped 1972
Dan Beard,Cargo,464,Permanente Metals Co Yard,1943-01-15,1943-03-06,1943-03-17,61.0,Dan Beard,Torpedoed and lost off Wales 1944
Amos Kendall,Cargo,1604,Oregon Shipbuilding Corp,1943-02-13,1943-03-07,1943-03-17,32.0,Amos Kendall,Scrapped 1961
John Gallup,Cargo,951,Bethlehem-Fairfield Shipyards,1943-01-27,1943-03-03,1943-03-18,50.0,John Gallup,Scrapped 1963
James Jackson,Cargo,343,Southeastern Shipbuilding Corp,1942-06-04,1942-12-27,1943-03-18,287.0,James Jackson,Scrapped 1973
Jonathan Worth,Cargo,897,North Carolina Shipbuilding Co,1943-02-11,1943-03-12,1943-03-19,36.0,Jonathan Worth,Scrapped 1969
Rachel Jackson,Cargo,721,California Shipbuilding Corp,1943-02-02,1943-03-02,1943-03-19,45.0,Rachel Jackson,Reefed off Port Mansfield TX 1976
Belva Lockwood,Cargo,1605,Oregon Shipbuilding Corp,1943-02-16,1943-03-09,1943-03-19,31.0,Belva Lockwood,Scrapped 1962
Timothy Dwight,Cargo,779,New England Shipbuilding Corp,1943-01-04,1943-03-07,1943-03-20,75.0,Timothy Dwight,Scrapped 1969
James McHenry,Cargo,1030,Delta Shipbuilding Co,1943-01-16,1943-03-04,1943-03-20,63.0,James McHenry,Scrapped 1970
Hannibal Hamlin,Cargo,213,New England Shipbuilding Corp,1942-12-08,1943-03-05,1943-03-20,102.0,Hannibal Hamlin,Scrapped 1971
Jane A Delano,Cargo,465,Permanente Metals Co Yard,1943-01-19,1943-03-09,1943-03-20,60.0,Jane A. Delano,Scrapped 1970
Maria Mitchell,Cargo,722,California Shipbuilding Corp,1943-02-04,1943-03-04,1943-03-21,45.0,Maria Mitchell,Scrapped 1971
Kenneth A J MacKenzie,Cargo,1606,Oregon Shipbuilding Corp,1943-02-18,1943-03-11,1943-03-21,31.0,Kenneth A. J. MacKenzie,Scrapped 1970
Lucretia Mott,Cargo,1607,Oregon Shipbuilding Corp,1943-02-20,1943-03-13,1943-03-22,30.0,Lucretia Mott,Scrapped 1968
William Wilkins,Cargo,837,Todd Houston Shipbuilding Corp,1943-01-22,1943-03-06,1943-03-22,59.0,William Wilkins,Scrapped 1963
Matthew T Goldsboro,Cargo,898,North Carolina Shipbuilding Co,1943-02-13,1943-03-15,1943-03-22,37.0,Matthew T. Goldsboro,Scrapped 1969
Wisteria,Cargo,954,Bethlehem-Fairfield Shipyards,1943-02-06,1943-03-06,1943-03-22,44.0,William Osler,"To U.S. Army as hospital ship Wisteria, scrapped 1969"
Margaret Fuller,Cargo,723,California Shipbuilding Corp,1943-02-06,1943-03-06,1943-03-23,45.0,Margaret Fuller,Scrapped 1967
Jacques Laramie,Cargo,473,Permanente Metals Co Yard,1943-02-12,1943-03-12,1943-03-23,39.0,Jacques Laramie,Scrapped 1972
Henry Gilbert Costin,Cargo,950,Bethlehem-Fairfield Shipyards,1943-01-23,1943-03-09,1943-03-23,59.0,Henry Gilbert Costin,"Sold private 1947, scrapped 1966"
William B Allison,Cargo,724,California Shipbuilding Corp,1943-02-08,1943-03-08,1943-03-24,44.0,William B. Allison,"Torpedoed off Okinawa 1945, to U.S. Navy as Gamage (IX-227), scrapped 1948"
Pierre Gibault,Cargo,1608,Oregon Shipbuilding Corp,1943-02-22,1943-03-15,1943-03-24,30.0,Pierre Gibault,"Mined off Rhodes 1945, scrapped 1949"
Nathaniel Currier,Cargo,529,Permanente Metals Co Yard,1943-02-10,1943-03-11,1943-03-24,42.0,Nathaniel Currier,Scrapped 1971
Elisha Mitchell,Cargo,899,North Carolina Shipbuilding Co,1943-02-16,1943-03-18,1943-03-25,37.0,Elisha Mitchell,Scrapped 1961
Benjamin H Grierson,Cargo,1609,Oregon Shipbuilding Corp,1943-02-24,1943-03-17,1943-03-25,29.0,Benjamin H. Grierson,"Reefed off Panama City, Florida 1977"
Clifford D Mallory,Cargo,952,Bethlehem-Fairfield Shipyards,1943-01-30,1943-03-11,1943-03-26,55.0,Clifford D. Mallory,"To U.S. Navy as YAG 1956, scrapped 1971"
Mintaka,Cargo,725,California Shipbuilding Corp,1943-02-09,1943-03-10,1943-03-26,45.0,Ansel Briggs,"To U.S. Navy as Mintaka (AK-94), scrapped 1968"
Lucius Q C Lamar,Cargo,1029,Delta Shipbuilding Co,1943-01-25,1943-03-06,1943-03-26,60.0,Lucius Q. C. Lamar,Scrapped 1967
Lucy Stone,Cargo,474,Permanente Metals Co Yard,1943-02-13,1943-03-13,1943-03-26,41.0,Lucy Stone,Scrapped 1972
Alexandr Suvorov,Cargo,1610,Oregon Shipbuilding Corp,1943-02-25,1943-03-19,1943-03-27,30.0,Elijah P. Lovejoy,"Sold private 1947, scrapped 1978"
Henry H Richardson,Cargo,528,Permanente Metals Co Yard,1943-02-04,1943-03-13,1943-03-27,51.0,Henry H. Richardson,Scrapped 1960
Ezra Cornell,Cargo,780,New England Shipbuilding Corp,1943-01-04,1943-03-07,1943-03-27,82.0,Ezra Cornell,"Sold private 1947, sunk 1967"
Mikhail Kutusov,Cargo,1611,Oregon Shipbuilding Corp,1943-02-27,1943-03-21,1943-03-28,29.0,Graham Taylor,"To Russia 1943 as Mikhail Kutusov, scrapped 1973"
Christopher Gale,Cargo,900,North Carolina Shipbuilding Co,1943-02-19,1943-03-21,1943-03-28,37.0,Christopher Gale,Scrapped 1962
Alice F Palmer,Cargo,726,California Shipbuilding Corp,1943-02-12,1943-03-12,1943-03-28,44.0,Alice F. Palmer,Torpedoed and lost off Mozambique 1943
Howard A Kelly,Cargo,955,Bethlehem-Fairfield Shipyards,1943-02-08,1943-03-18,1943-03-29,49.0,Howard A. Kelly,"Sold private 1947, scrapped 1969"
Elias Boudinot,Cargo,1034,Delta Shipbuilding Co,1943-01-27,1943-03-13,1943-03-29,61.0,Elias Boudinot,Scrapped 1962
Frances E Willard,Cargo,475,Permanente Metals Co Yard,1943-02-17,1943-03-16,1943-03-29,40.0,Frances E. Willard,Scrapped 1961
William S Halsted,Cargo,956,Bethlehem-Fairfield Shipyards,1943-02-13,1943-03-16,1943-03-29,44.0,William S. Halsted,"Sold private 1947, scrapped 1968"
George Walton,Cargo,344,Southeastern Shipbuilding Corp,1942-06-18,1943-01-21,1943-03-30,285.0,George Walton,Burnt and sank 1951
James M Goodhue,Cargo,727,California Shipbuilding Corp,1943-02-15,1943-03-15,1943-03-30,43.0,James M. Goodhue,"Sold private 1947, wrecked and abandoned 1966"
Albert B Cummins,Cargo,1612,Oregon Shipbuilding Corp,1943-03-01,1943-03-23,1943-03-30,29.0,Albert B. Cummins,Scrapped 1961
James Ives,Cargo,530,Permanente Metals Co Yard,1943-02-16,1943-03-18,1943-03-31,43.0,James Ives,"Sold private 1947, scrapped 1967"
William H Welch,Cargo,953,Bethlehem-Fairfield Shipyards,1943-01-31,1943-03-10,1943-03-31,59.0,William H. Welch,Wrecked and lost off Fura 1944
James W Grimes,Cargo,1613,Oregon Shipbuilding Corp,1943-03-03,1943-03-24,1943-03-31,28.0,James W. Grimes,Scrapped 1972
Cor Caroli,Cargo,476,Permanente Metals Co Yard,1943-02-20,1943-03-19,1943-03-31,39.0,Betsy Ross,"To U.S. Navy as Cor Caroli (AK-91), reefed off Florida 1978"
Philander C Knox,Cargo,1028,Delta Shipbuilding Co,1943-01-09,1943-02-24,1943-03-31,81.0,Philander C. Knox,Scrapped 1961
Henry H Sibley,Cargo,728,California Shipbuilding Corp,1943-02-17,1943-03-16,1943-03-31,42.0,Henry H. Sibley,"Sold private 1947, scrapped 1968"
John Howland,Cargo,958,Bethlehem-Fairfield Shipyards,1943-02-15,1943-03-19,1943-03-31,44.0,John Howland,"Sold private 1947, scrapped 1968"
Richard Hovey,Cargo,338,New England Shipbuilding Corp,1942-12-27,1943-03-14,1943-03-31,94.0,Richard Hovey,Torpedoed and lost in the Indian Ocean 1944
William L Davidson,Cargo,901,North Carolina Shipbuilding Co,1943-02-22,1943-03-24,1943-03-31,37.0,William L. Davidson,"Wrecked 1946, refloated, sold to U.S. Navy, scrapped"
Fitzhugh Lee,Cargo,838,Todd Houston Shipbuilding Corp,1943-01-29,1943-03-16,1943-03-31,61.0,Fitzhugh Lee,Scrapped 1959
Henry M Rice,Cargo,729,California Shipbuilding Corp,1943-02-18,1943-03-17,1943-03-31,41.0,Henry Mower Rice,Scrapped 1963
Abigail Adams,Cargo,477,Permanente Metals Co Yard,1943-02-24,1943-03-21,1943-04-01,36.0,Abigail Adams,Scrapped 1972
George L Baker,Cargo,1614,Oregon Shipbuilding Corp,1943-03-05,1943-03-26,1943-04-02,28.0,George L. Baker,"Sold private 1947, scrapped 1969"
John J Abel,Cargo,960,Bethlehem-Fairfield Shipyards,1943-02-20,1943-03-24,1943-04-03,42.0,John J. Abel,Scrapped 1961
John S Pillsbury,Cargo,730,California Shipbuilding Corp,1943-02-20,1943-03-19,1943-04-04,43.0,John S. Pillsbury,Scrapped 1968
Francis Amasa Walker,Cargo,781,New England Shipbuilding Corp,1943-01-04,1943-03-07,1943-04-04,90.0,Francis Amasa Walker,Scrapped 1965
Chief Joseph,Cargo,1615,Oregon Shipbuilding Corp,1943-03-07,1943-03-27,1943-04-04,28.0,Chief Joseph,"Sold private 1946, sunk 1962"
Walker Taylor,Cargo,902,North Carolina Shipbuilding Co,1943-02-25,1943-03-28,1943-04-05,39.0,Walker Taylor,Scrapped 1959
William H Wilmer,Cargo,959,Bethlehem-Fairfield Shipyards,1943-02-19,1943-03-25,1943-04-05,45.0,William H. Wilmer,"Sold private 1947, burnt and scrapped 1962"
David Dudley Field,Cargo,470,Permanente Metals Co Yard,1943-02-01,1943-03-24,1943-04-05,63.0,David Dudley Field,Scrapped 1970
Thomas Corwin,Cargo,531,Permanente Metals Co Yard,1943-02-19,1943-03-21,1943-04-05,45.0,Thomas Corwin,Scrapped 1964
Knute Nelson,Cargo,731,California Shipbuilding Corp,1943-02-24,1943-03-22,1943-04-06,41.0,Knute Nelson,Scrapped 1970
Alexandr Nevsky,Cargo,1616,Oregon Shipbuilding Corp,1943-03-09,1943-03-29,1943-04-06,28.0,Henry W. Corbett,"To Russia 1943 as Alexandr Nevsky, scrapped 1978"
Johns Hopkins,Cargo,947,Bethlehem-Fairfield Shipyards,1943-01-25,1943-03-10,1943-04-06,71.0,Johns Hopkins,"Mined in Marseilles 1944, repaired and sold private 1946, wrecked and abandoned 1966"
Newton D Baker,Cargo,1520,J A Jones Construction Co (Panama City),1942-09-03,1943-02-25,1943-04-06,215.0,Newton D. Baker,Scrapped 1968
Franklin P Mall,Cargo,957,Bethlehem-Fairfield Shipyards,1943-02-13,1943-03-26,1943-04-07,53.0,Franklin P. Mall,Scrapped 1965
David Starr Jordan,Cargo,472,Permanente Metals Co Yard,1943-02-07,1943-03-25,1943-04-07,59.0,David Starr Jordan,Scrapped 1971
James B Weaver,Cargo,732,California Shipbuilding Corp,1943-02-24,1943-03-23,1943-04-07,42.0,James B. Weaver,Scrapped 1965
Roger Moore,Cargo,903,North Carolina Shipbuilding Co,1943-02-28,1943-03-31,1943-04-08,39.0,Roger Moore,Scrapped 1971
Jubal A Early,Cargo,839,Todd Houston Shipbuilding Corp,1943-02-06,1943-03-19,1943-04-08,61.0,Jubal A. Early,"Sold private 1947, scrapped 1968"
John Banvard,Cargo,962,Bethlehem-Fairfield Shipyards,1943-02-23,1943-03-27,1943-04-08,44.0,John Banvard,Wrecked in the Azores 1944 and scrapped
George Flavel,Cargo,1617,Oregon Shipbuilding Corp,1943-03-11,1943-03-31,1943-04-08,28.0,George Flavel,Scrapped 1968
Lyman Hall,Cargo,345,Southeastern Shipbuilding Corp,1942-06-23,1943-02-06,1943-04-09,290.0,Lyman Hall,Scrapped 1963
Simon Newcomb,Cargo,733,California Shipbuilding Corp,1943-02-27,1943-03-26,1943-04-09,41.0,Simon Newcomb,Scrapped 1959
James Guthrie,Cargo,532,Permanente Metals Co Yard,1943-02-26,1943-03-26,1943-04-09,42.0,James Guthrie,"Mined off Capri 1944, declared total loss, scrapped 1947"
John H Couch,Cargo,1618,Oregon Shipbuilding Corp,1943-03-13,1943-04-01,1943-04-09,27.0,John H. Couch,Torpedoed from the air and lost off Guadalcanal 1943
Amy Lowell,Cargo,734,California Shipbuilding Corp,1943-02-28,1943-03-27,1943-04-10,41.0,Amy Lowell,"Sold private 1947, scrapped 1967"
Elizabeth Blackwell,Cargo,478,Permanente Metals Co Yard,1943-02-26,1943-03-28,1943-04-10,43.0,Elizabeth Blackwell,"Sold private 1947, scrapped 1967"
Aedanus Burke,Cargo,1035,Delta Shipbuilding Co,1943-02-17,1943-03-27,1943-04-10,52.0,Aedanus Burke,Scrapped 1964
Santiago Iglesias,Cargo,961,Bethlehem-Fairfield Shipyards,1943-02-21,1943-03-30,1943-04-10,48.0,Santiago Iglesias,Scuttled with obsolete ammo 1965
George H Flanders,Cargo,1619,Oregon Shipbuilding Corp,1943-03-15,1943-04-03,1943-04-11,27.0,George H. Flanders,"Sold private 1947, scrapped 1972"
Edward N Hurley,Cargo,963,Bethlehem-Fairfield Shipyards,1943-02-28,1943-03-31,1943-04-12,43.0,Edward N. Hurley,Scrapped 1957
William G Fargo,Cargo,735,California Shipbuilding Corp,1943-03-02,1943-03-29,1943-04-12,41.0,William G. Fargo,"Sold private 1947, scrapped 1967"
John Sullivan,Cargo,214,New England Shipbuilding Corp,1943-01-17,1943-03-28,1943-04-12,85.0,John Sullivan,Scrapped 1963
S Hall Young,Cargo,479,Permanente Metals Co Yard,1943-03-02,1943-03-31,1943-04-12,41.0,S. Hall Young,"Sold private 1947, scrapped 1967"
Howell Cobb,Cargo,533,Permanente Metals Co Yard,1943-02-28,1943-03-30,1943-04-12,43.0,Howell Cobb,Scuttled as breakwater in Cook Inlet AK 1966
John Clarke,Cargo,1458,Walsh-Kaiser Co,1942-07-11,1943-02-25,1943-04-12,275.0,John Clarke,Scrapped 1968
Bernard N Baker,Cargo,966,Bethlehem-Fairfield Shipyards,1943-03-04,1943-04-04,1943-04-13,40.0,Bernard N. Baker,Scrapped 1964
Francis W Pettygrove,Cargo,1620,Oregon Shipbuilding Corp,1943-03-17,1943-04-04,1943-04-13,27.0,Francis W. Pettygrove,"Torpedoed from the air in the Mediterranean 1943, scrapped 1949"
Robert Rowan,Cargo,904,North Carolina Shipbuilding Co,1943-03-05,1943-04-06,1943-04-13,39.0,Robert Rowan,"Bombed and lost off Sicily 1943, wreck scrapped 1948"
William James,Cargo,736,California Shipbuilding Corp,1943-03-04,1943-03-31,1943-04-14,41.0,William James,Scrapped 1963
J H Kinkaid,Cargo,480,Permanente Metals Co Yard,1943-03-05,1943-04-02,1943-04-14,40.0,Variant spelling of J. H. Kinkead,Scrapped 1966
Thomas W Bickett,Cargo,905,North Carolina Shipbuilding Co,1943-03-09,1943-04-09,1943-04-15,37.0,Thomas W. Bickett,Scrapped 1966
Samuel Dexter,Cargo,1031,Delta Shipbuilding Co,1943-02-16,1943-03-29,1943-04-15,58.0,Samuel Dexter,"Broke up and wrecked in the North Atlantic, 1943"
Henry Failing,Cargo,1621,Oregon Shipbuilding Corp,1943-03-19,1943-04-07,1943-04-15,27.0,Henry Failing,Scrapped 1961
Charles M Schwab,Cargo,964,Bethlehem-Fairfield Shipyards,1943-03-01,1943-04-07,1943-04-16,46.0,Charles M. Schwab,Scrapped 1970
Hugh McCulloch,Cargo,534,Permanente Metals Co Yard,1943-03-12,1943-04-05,1943-04-16,35.0,Hugh McCulloch,Scrapped 1962
Jacques Cartier,Cargo,737,California Shipbuilding Corp,1943-03-06,1943-04-02,1943-04-16,41.0,Jacques Cartier,Scrapped 1962
Richard S Ewell,Cargo,840,Todd Houston Shipbuilding Corp,1943-02-11,1943-03-29,1943-04-16,64.0,Richard S. Ewell,Scrapped 1965
B F Shaw,Cargo,1622,Oregon Shipbuilding Corp,1943-03-21,1943-04-09,1943-04-17,27.0,B. F. Shaw,"Reefed off Freeport, Texas 1976"
Blanche F Sigman,Cargo,738,California Shipbuilding Corp,1943-03-09,1943-04-05,1943-04-17,39.0,Stanford White,"To U.S. Army as hospital ship Poppy, scrapped 1974"
Joseph Warren,Cargo,782,New England Shipbuilding Corp,1943-02-01,1943-04-05,1943-04-17,75.0,Joseph Warren,"Sold private 1947, scrapped 1969"
Alexander Baranof,Cargo,481,Permanente Metals Co Yard,1943-03-06,1943-04-04,1943-04-17,42.0,Variant spelling of Alexandr Baranov,"To Russia 1943 as Valery Chkalov, wrecked 1943, repaired, returned to US flag, scrapped 1965"
Sun Yat Sen,Cargo,1235,Marinship Corp,1943-02-13,1943-03-26,1943-04-17,63.0,Sun Yat-sen,"Sold private 1947, scrapped 1968"
Winfred L Smith,Cargo,967,Bethlehem-Fairfield Shipyards,1943-03-08,1943-04-07,1943-04-17,40.0,Winfred L. Smith,Scrapped 1959
Sheldon Jackson,Cargo,482,Permanente Metals Co Yard,1943-03-09,1943-04-07,1943-04-18,40.0,Sheldon Jackson,Scrapped 1966
Horace Williams,Cargo,906,North Carolina Shipbuilding Co,1943-03-12,1943-04-12,1943-04-19,38.0,Henry Horace Williams,"Sold private 1947, scrapped 1971"
John Milledge,Cargo,346,Southeastern Shipbuilding Corp,1942-06-27,1943-02-21,1943-04-19,296.0,John Milledge,Scrapped 1965
Benjamin N Cardozo,Cargo,739,California Shipbuilding Corp,1943-03-10,1943-04-05,1943-04-19,40.0,Benjamin N. Cardozo,"To U.S. Navy as Serpens (AK-97), exploded off Guadalcanal and sunk 1945"
George E Pickett,Cargo,841,Todd Houston Shipbuilding Corp,1943-02-16,1943-03-31,1943-04-19,62.0,George E. Pickett,Scrapped 1969
Simon Bolivar,Cargo,1623,Oregon Shipbuilding Corp,1943-03-23,1943-04-11,1943-04-19,27.0,Simón Bolívar,Scrapped 1971
John Chandler,Cargo,215,New England Shipbuilding Corp,1943-01-29,1943-04-08,1943-04-20,81.0,John Chandler,"Sold private 1947, scrapped 1971"
Jose Bonifacio,Cargo,907,North Carolina Shipbuilding Co,1943-03-16,1943-04-14,1943-04-21,36.0,José Bonifácio,Scrapped 1970
William Carson,Cargo,1632,California Shipbuilding Corp,1943-03-12,1943-04-07,1943-04-21,40.0,William Carson,Scrapped 1970
Emilian Pugachev,Cargo,1624,Oregon Shipbuilding Corp,1943-03-24,1943-04-13,1943-04-21,28.0,Louis Agassiz,"To Russia 1943 as Emilian Pugachev, scrapped 1977"
George D Prentice,Cargo,536,Permanente Metals Co Yard,1943-03-04,1943-04-07,1943-04-21,48.0,George D. Prentice,Scrapped 1969
Timothy Bloodworth,Cargo,1033,Delta Shipbuilding Co,1943-02-04,1943-03-17,1943-04-22,77.0,Timothy Bloodworth,Scrapped 1963
Bushrod Washington,Cargo,968,Bethlehem-Fairfield Shipyards,1943-03-10,1943-04-13,1943-04-22,43.0,Bushrod Washington,Bombed and lost off Salerno 1943
Edward Bellamy,Cargo,1625,Oregon Shipbuilding Corp,1943-03-26,1943-04-14,1943-04-22,27.0,Edward Bellamy,Scrapped 1970
Luther Burbank,Cargo,1099,Permanente Metals Co Yard,1943-03-12,1943-04-09,1943-04-22,41.0,Luther Burbank,"To U.S. Navy as Eridanus (AK-92), sold private 1947, broke in two 1955, repaired, scrapped 1972"
Emma Willard,Cargo,783,New England Shipbuilding Corp,1943-02-01,1943-04-05,1943-04-22,80.0,Emma Willard,"Sold private 1947, scrapped 1968"
